,County,State,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14
203,Glenn County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,5.0
204,Humboldt County,CA,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,37.0,50.0,52.0,52.0,53.0
205,Imperial County,CA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,17.0,50.0,79.0,143.0,232.0,284.0
206,Inyo County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,11.0,17.0,19.0,19.0
207,Kern County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,155.0,330.0,565.0,699.0,828.0
208,Kings County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,18.0,35.0,71.0
209,Lake County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0
210,Lassen County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Los Angeles County,CA,1.0,1.0,1.0,1.0,1.0,11.0,29.0,231.0,1216.0,4045.0,7955.0,10854.0,17508.0,20417.0
212,Madera County,CA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,28.0,30.0,33.0,39.0,44.0
213,Marin County,CA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25.0,65.0,118.0,154.0,187.0,209.0,224.0
214,Mariposa County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Mendocino County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,5.0,11.0
216,Merced County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,40.0,82.0,100.0,110.0
217,Modoc County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Mono County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,20.0,23.0,24.0,26.0
219,Monterey County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,53.0,71.0,119.0,164.0,185.0
220,Napa County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,28.0,39.0,57.0,64.0
221,Nevada County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,26.0,34.0,34.0,36.0,39.0
222,Orange County,CA,1.0,1.0,1.0,1.0,1.0,3.0,6.0,53.0,256.0,656.0,1079.0,1425.0,1827.0,2126.0
223,Placer County,CA,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,30.0,90.0,120.0,130.0,136.0,143.0
224,Plumas County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0
225,Riverside County,CA,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,107.0,493.0,1280.0,2264.0,3218.0,3643.0
226,Sacramento County,CA,0.0,0.0,0.0,0.0,2.0,2.0,10.0,45.0,113.0,341.0,613.0,879.0,987.0,1045.0
227,San Benito County,CA,0.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,9.0,23.0,34.0,42.0,47.0,48.0
228,San Bernardino County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,55.0,304.0,729.0,1032.0,1608.0,1772.0
229,San Diego County,CA,0.0,0.0,2.0,2.0,2.0,3.0,3.0,89.0,341.0,966.0,1628.0,2087.0,2643.0,3141.0
230,San Francisco County,CA,0.0,0.0,0.0,0.0,0.0,2.0,18.0,70.0,223.0,450.0,724.0,1019.0,1302.0,1424.0
231,San Joaquin County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,83.0,178.0,245.0,369.0,487.0,527.0
232,San Luis Obispo County,CA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,54.0,89.0,104.0,125.0,149.0,169.0
233,San Mateo County,CA,0.0,0.0,0.0,0.0,0.0,2.0,15.0,97.0,195.0,453.0,633.0,767.0,966.0,1080.0
234,Santa Barbara County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,42.0,111.0,243.0,354.0,451.0,473.0
235,Santa Clara County,CA,0.0,2.0,2.0,2.0,2.0,20.0,48.0,189.0,542.0,1019.0,1442.0,1833.0,1987.0,2105.0
236,Santa Cruz County,CA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,32.0,57.0,80.0,96.0,114.0,124.0
237,Shasta County,CA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,24.0,26.0,28.0,30.0
238,Sierra County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Siskiyou County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,5.0,5.0
240,Solano County,CA,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,34.0,61.0,115.0,156.0,191.0,226.0
241,Sonoma County,CA,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,41.0,95.0,136.0,163.0,194.0,220.0
242,Stanislaus County,CA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,17.0,50.0,103.0,187.0,258.0,312.0
243,Sutter County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,22.0,24.0,28.0,29.0
244,Tehama County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
245,Trinity County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,Tulare County,CA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,20.0,74.0,187.0,372.0,453.0,532.0
247,Tuolumne County,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0
